 ,tmp_snow,tmp_rain,watt_per_deg_snow,watt_per_deg_ice,cc_pwr,sublimate_scl,sn_hold,ice_melt_pwr,debris_scalar,PET_pwr,soil_moisture_capacity,drain_rate,timelag_pwr
tmp_snow,1.000000,-1.000000,NaN,NaN,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tmp_rain,-1.000000,1.000000,NaN,NaN,-1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
watt_per_deg_snow,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
watt_per_deg_ice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cc_pwr,1.000000,-1.000000,NaN,NaN,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sublimate_scl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sn_hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ice_melt_pwr,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
debris_scalar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PET_pwr,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000,0.547687,0.628874,-0.342160
soil_moisture_capacity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.547687,1.000000,0.678577,-0.307397
drain_rate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.628874,0.678577,1.000000,-0.381095
timelag_pwr,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.342160,-0.307397,-0.381095,1.000000
